experiment_id,method,donor,plastic_architecture,trainable_params,training_bytes,training_tokens,steps,wall_time,peak_vram,train_accuracy,heldout_accuracy,paraphrase_accuracy,reverse_relation_accuracy,false_premise_accuracy,composition_accuracy,target_logprob,target_distractor_margin,old_mean_drift_npb,old_worst_drift_npb,reload_retention,ablation_drop,donor_params_changed,credit_source,paper,repo,license
SRB_V0_RUN_A_FREE_ALPHA,cross_entropy_free_alpha,Qwen3-0.6B-Base,8_swiglu_topk2_layer13,75505665,116064,34704,1488,1188.42,2001535488,,0.375,0.0,0.222,1.0,0.0,-3.122,-0.008,0.156237,0.250474,0.375,-0.071,0,F51 plastic branch,n/a,n/a,F51 internal
SRB_V0R_ARM_B,cross_entropy_fixed_alpha_router,Qwen3-0.6B-Base,8_swiglu_topk2_layer13,75505664,116064,34704,1488,,2115208192,,0.393,0.0,0.778,1.0,0.0,-4.399,-0.251,0.018367,0.036884,0.446,0.0,0,F51 plastic branch,n/a,n/a,F51 internal
SRB_V0R_ARM_C,cross_entropy_fixed_alpha_frozen_router,Qwen3-0.6B-Base,8_swiglu_topk2_layer13,75497472,116064,34704,1488,,2115208192,,0.357,0.0,0.556,1.0,0.0,-4.085,-0.157,0.022423,0.059113,,0.089,0,F51 plastic branch,n/a,n/a,F51 internal
STAGE_X0_ALPHA_1E-6,cross_entropy_fixed_alpha_memorization,Qwen3-0.6B-Base,8_swiglu_topk2_layer13,75505664, , ,320,, ,0.0,,,,,,, -6.847,0.539,,,,0,F51 plastic branch,n/a,n/a,F51 internal
STAGE_X0_ALPHA_1E-4,cross_entropy_fixed_alpha_memorization,Qwen3-0.6B-Base,8_swiglu_topk2_layer13,75505664, , ,320,, ,0.0,,,,,,, -5.160,0.730,,,,0,F51 plastic branch,n/a,n/a,F51 internal
STAGE_X0R_A1E-4,canary_fixed_alpha,Qwen3-0.6B-Base,8_swiglu_topk2_layer13,75505664,1344,384,48,14.75,2115208192,1.0,,,,,,,,-0.002714,,0.007342,0.027814,,,0,F51 plastic branch,n/a,n/a,F51 internal
STAGE_X0R_A3E-4,canary_fixed_alpha,Qwen3-0.6B-Base,8_swiglu_topk2_layer13,75505664,1148,328,41,13.25,2115208192,1.0,,,,,,,,-0.000777,,0.012052,0.046203,,,0,F51 plastic branch,n/a,n/a,F51 internal
STAGE_X0R_A1E-3,canary_fixed_alpha,Qwen3-0.6B-Base,8_swiglu_topk2_layer13,75505664,980,280,35,12.08,2115208192,1.0,,,,,,,,-0.000463,,0.014881,0.053137,,,0,F51 plastic branch,n/a,n/a,F51 internal
STAGE_X0R_A3E-3,canary_fixed_alpha,Qwen3-0.6B-Base,8_swiglu_topk2_layer13,75505664,868,248,31,11.59,2115208192,1.0,,,,,,,,-0.000234,,0.024184,0.090024,,,0,F51 plastic branch,n/a,n/a,F51 internal
STAGE_X0S_TRAINABLE_ROUTER,eight_canary_fixed_alpha,Qwen3-0.6B-Base,8_swiglu_topk2_layer13,75505664,,,160,22.49,2115215360,1.0,,,,,,,,,0.006943,0.022505,,,0,F51 plastic branch,n/a,n/a,F51 internal
STAGE_X0S_FROZEN_ROUTER,eight_canary_frozen_router,Qwen3-0.6B-Base,8_swiglu_topk2_layer13,75497472,,,160,22.79,2115215360,1.0,,,,,,,,, -0.002918,0.006044,,,0,F51 plastic branch,n/a,n/a,F51 internal
STAGE_X1_BEST_8OF8,eval_only_frozen_router,Qwen3-0.6B-Base,8_swiglu_topk2_layer13,0,0,0,0,214.65,1414438400,1.0,0.293478,0.225,0.25,0.3125,0.0,-6.477617,0.164062,-0.003428,0.004498,1.0,,0,F51 plastic branch,n/a,n/a,F51 internal
STAGE_X2_SDFT_FROZEN_ROUTER,sdft_kl_frozen_router,Qwen3-0.6B-Base,8_swiglu_topk2_layer13,75497472,4482,906,96,37.54,1996003840,0.25,0.195652,0.225,0.0,0.0625,0.0,-6.2158,0.2969,-0.006937,0.004098,,,0,F51 plastic branch,arXiv:2601.19897,n/a,preprint not copied
STAGE_X2B_SDFT_FROM_X0S,sdft_kl_from_x0s_frozen_router,Qwen3-0.6B-Base,8_swiglu_topk2_layer13,75497472,4482,906,96,19.49,1996003840,0.875,0.347826,0.500,0.1875,0.0,0.0,-5.3746,0.7812,-0.000904,0.029683,0.875,,0,F51 plastic branch,arXiv:2601.19897,n/a,preprint not copied
PHASE_5A_ARM2_BACKBONE_0P01,sdft_backbone_0.01x,Qwen3-0.6B-Base,8_swiglu_topk2_layer13,671547392,4482,906,96,58.88,14960993792,0.75,0.434783,0.75,0.0,0.0,0.0,-12.2127,4.6416,0.800184,1.885600,0.75,,336899732,F51 plastic branch,arXiv:2601.19897,n/a,preprint not copied
